Trading_Date,Daily_Avg_Sentiment,Daily_Positive_Score,Daily_Neutral_Score,Daily_Negative_Score,Positive_News_Count,Neutral_News_Count,Negative_News_Count,Sentiment_Volatility,News_Count
2019-06-03,-0.09594495590647342,0.25498886268819015,0.39407731871714635,0.35093381859466355,0,1,1,0.11518798279846763,2
2019-06-06,-0.1982156686916788,0.24669222749162287,0.30839987632507543,0.4449078961833017,0,0,1,0.0,1
2019-06-07,-0.015702990732373773,0.20640567169633922,0.5714856658749478,0.222108662428713,0,1,0,0.0,1
2019-06-10,-0.02889829868739191,0.27124936290574575,0.42860297550111665,0.30014766159313766,0,1,0,0.0,1
2019-06-13,-0.07157426878510262,0.2453085053640476,0.4378087204868022,0.3168827741491502,0,1,0,0.0,1
2019-06-14,-0.015702990732373773,0.20640567169633922,0.5714856658749478,0.222108662428713,0,1,0,0.0,1
2019-06-17,-0.028167069427951885,0.2674841668149723,0.4368645969421035,0.29565123624292416,0,1,0,0.0,1
2020-03-23,0.09495066370893379,0.2869144659905646,0.5211217317278045,0.1919638022816308,0,1,0,0.0,1
2020-03-24,0.011794386028864845,0.18150501631952778,0.6487843533898092,0.16971063029066294,0,1,0,0.0,1
2020-03-27,0.25404703197097506,0.4261359577730056,0.4017751164249638,0.17208892580203056,1,1,0,0.030402711559462683,2
2020-03-30,-0.28935281230451254,0.1475609546840545,0.4155252783273784,0.43691376698856704,0,1,1,0.44809585036118066,2
2020-04-07,-0.025191200301827713,0.19883080442754875,0.5771471908430748,0.22402200472937647,0,2,0,0.16471873158232983,2
2020-04-08,0.11382984893279086,0.25416569038712084,0.6054984681585492,0.14033584145432998,0,1,0,0.0,1
2020-04-09,0.03383895595025854,0.28685410759916136,0.4601307407519358,0.2530151516489028,0,1,0,0.0,1
2020-04-23,0.08306537515643209,0.28445776446661414,0.5141498462232038,0.20139238931018208,1,2,0,0.08206548345464104,3
2020-04-24,0.23648137479753956,0.33587242481935436,0.5647365251588309,0.0993910500218148,0,1,0,0.0,1
2020-04-27,0.1074654081132685,0.26038071706584,0.5867039739815885,0.1529153089525715,1,4,0,0.07580351379149254,5
2020-04-28,0.2895398344768071,0.45932753347042193,0.3708847675359634,0.16978769899361482,1,0,0,0.0,1
